store,category,product_id,product_name,canonical_product_name,price,old_price,currency,unit_price,price_per_kg,price_per_piece,loyalty_required,loyalty_program,loyalty_price,discount_label,date_range,url,image_url,scraped_at
Albert,Alkohol,50024,Aperitiv Spritz Mionetto 0.75 l,aperitiv_spritz_mionetto,199.0,248.75,Kč,"265,33 Kč / 1 l",,,False,,,-20% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-supermarket-letak-695?page=30&map=210619185,https://www.kupi.cz/img/no_img/no_discounts.png,2026-08-24T19:17:28+02:00
Albert,Alkohol,521325,Aperitivo Limonce 0.7 l,aperitivo_limonce,199.0,276.39,Kč,"284,29 Kč / 1 l",,,False,,,-28% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-supermarket-letak-696?page=42&map=211179816,https://img.kupi.cz/kupi/thumbs/aperitivo-limonce_170_340.png,2026-08-24T19:17:27+02:00
Billa,Alkohol,521325,Aperitivo Limonce 0.7 l,aperitivo_limonce,199.9,,Kč,"285,57 Kč / 1 l",,,False,,,platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-tak-dobre-ze-je-radost-grilovat-3?page=10&map=210904107,https://img.kupi.cz/kupi/thumbs/aperitivo-limonce_170_340.png,2026-08-24T19:18:52+02:00
Billa,Alkohol,40647,Aperitivy Cinzano 0.75 l,aperitivy_cinzano,199.9,,Kč,"266,53 Kč / 1 l",,,False,,,platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-vino-2?page=8&map=210903306,https://img.kupi.cz/kupi/thumbs/aperitivy-cinzano_170_340.png,2026-08-24T19:18:44+02:00
Albert,Mléčné výrobky a vejce,523932,Arašídové máslo 4Slim 500 g,arasidove_maslo_4slim,129.9,188.26,Kč,"25,98 Kč / 100 g",259.8,,False,,,-31% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=47&map=210612417,https://www.kupi.cz/img/no_img/no_discounts.png,2026-08-24T19:15:36+02:00
Albert,Ovoce a zelenina,4414,Avokádo 1 ks,avokado,24.9,39.52,Kč,"24,90 Kč / 1 ks",,24.9,False,,,-37% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=12&map=210608145,https://img.kupi.cz/kupi/thumbs/avokado_170_340.jpg,2026-08-24T19:15:07+02:00
Billa,Ovoce a zelenina,500961,Avokádo Billa Bonvia Premium 1 ks,avokado,29.9,49.83,Kč,"29,90 Kč / 1 ks",,29.9,False,,,-40% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-maly-letak-714?page=8&map=210902943,https://img.kupi.cz/kupi/thumbs/avokado-billa-bonvia-premium_170_340.jpg,2026-08-24T19:17:30+02:00
Tesco,Ovoce a zelenina,57874,Avokádo Tesco Finest 1 ks,avokado,24.9,49.8,Kč,"24,90 Kč / 1 ks",,24.9,False,,,-50% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=3&map=210626730,https://img.kupi.cz/kupi/thumbs/avokado-tesco-finest-1_170_340.jpg,2026-08-24T19:19:35+02:00
Tesco,Vaření a pečení,14438,Marináda Avokádo 80 ml,avokado,12.9,18.7,Kč,"16,12 Kč / 100 ml",,,True,Clubcard,12.9,-31% Clubcard platí do úterý 1. 9.,2026-08-24 - 2026-09-01,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=23&map=210633012,https://img.kupi.cz/kupi/thumbs/marinada-avokado_170_340.png,2026-08-24T19:19:58+02:00
Tesco,Vaření a pečení,323732,Omáčky Avokádo 270 g,avokado,54.9,64.59,Kč,"20,33 Kč / 100 g",203.3,,True,Clubcard,54.9,-15% Clubcard platí do úterý 1. 9.,2026-08-24 - 2026-09-01,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=23&map=210632997,https://img.kupi.cz/kupi/thumbs/omacky-avokado_170_340.png,2026-08-24T19:19:58+02:00
Billa,Pečivo,569568,Bábovka bez lepku Dr.Pekař 120 g,babovka_bez_lepku_dr_pekar,59.9,69.65,Kč,"49,92 Kč / 100 g",499.2,,True,Billa Club,59.9,-14% Billa Club zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/billa-velky-letak-285?page=9&map=210902382,https://img.kupi.cz/kupi/thumbs/babovka-bez-lepku-drpekar_170_340.jpg,2026-08-24T19:17:33+02:00
Lidl,Pečivo,478110,Bábovka Confiserie Firenze 500 g,babovka_confiserie_firenze,49.9,59.4,Kč,"9,98 Kč / 100 g",99.8,,False,,,-16% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=29&map=211182393,https://img.kupi.cz/kupi/thumbs/babovka-confiserie-firenze_170_340.jpg,2026-08-24T19:19:05+02:00
Billa,Pečivo,481734,Bábovka Srdce Domova 400 g,babovka_srdce_domova,42.9,49.88,Kč,"10,72 Kč / 100 g",107.2,,True,Billa Club,42.9,-14% Billa Club platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-na-ceste-za-jednickami?page=10&map=209932647,https://img.kupi.cz/kupi/thumbs/babovka-srdce-domova_170_340.jpg,2026-08-24T19:17:33+02:00
Albert,Pečivo,73902,Bageta česneková 165 g,bageta_cesnekova,14.9,19.87,Kč,"9,03 Kč / 100 g",90.3,,False,,,-25% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-supermarket-letak-695?page=16&map=210617676,https://img.kupi.cz/kupi/thumbs/bageta-cesnekova_170_340.png,2026-08-24T19:15:14+02:00
Albert,Pečivo,73902,Bageta česneková 165 g,bageta_cesnekova,14.9,19.87,Kč,"9,03 Kč / 100 g",90.3,,False,,,-25% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=20&map=210926010,https://img.kupi.cz/kupi/thumbs/bageta-cesnekova_170_340.png,2026-08-24T19:15:14+02:00
Billa,Pečivo,73902,Bageta česneková 165 g,bageta_cesnekova,17.9,19.89,Kč,"10,85 Kč / 100 g",108.5,,True,Billa Club,17.9,-10% Billa Club platí do úterý 8. 9.,2026-08-24 - 2026-09-08,https://www.kupi.cz/letak/billa-letak-tak-dobre-ze-je-radost-grilovat-3?page=4&map=210903834,https://img.kupi.cz/kupi/thumbs/bageta-cesnekova_170_340.png,2026-08-24T19:17:32+02:00
Lidl,Pečivo,73902,Bageta česneková 175 g,bageta_cesnekova,14.9,18.86,Kč,"8,51 Kč / 100 g",85.1,,False,,,-21% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=18&map=211180962,https://img.kupi.cz/kupi/thumbs/bageta-cesnekova_170_340.png,2026-08-24T19:19:05+02:00
Albert,Pečivo,192,Bageta francouzská 110 g,bageta_francouzska,9.9,11.79,Kč,"9,00 Kč / 100 g",90.0,,False,,,-16% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=16&map=210608256,https://img.kupi.cz/kupi/thumbs/bageta-francouzska_170_340.png,2026-08-24T19:15:14+02:00
Albert,Pečivo,192,Bageta francouzská 110 g,bageta_francouzska,7.9,11.79,Kč,"7,18 Kč / 100 g",71.8,,False,,,-33% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=20&map=210926013,https://img.kupi.cz/kupi/thumbs/bageta-francouzska_170_340.png,2026-08-24T19:15:14+02:00
Lidl,Lahůdky,581811,Bageta plněná Food Festival Presents 190 g,bageta_plnena_food_festival_presents,54.9,,Kč,"28,89 Kč / 100 g",288.9,,False,,,platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=20&map=211182489,https://www.kupi.cz/img/no_img/no_discounts.png,2026-08-24T19:19:15+02:00
Albert,Mléčné výrobky a vejce,2705,Balkánský sýr Madeta 115 g,balkansky_syr_madeta,29.9,35.6,Kč,"26,00 Kč / 100 g",260.0,,False,,,-16% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-hypermarket-letak-645?page=18&map=210608427,https://img.kupi.cz/kupi/thumbs/balkansky-syr-madeta_170_340.jpg,2026-08-24T19:15:29+02:00
Albert,Mléčné výrobky a vejce,2705,Balkánský sýr Madeta 115 g,balkansky_syr_madeta,29.9,35.6,Kč,"26,00 Kč / 100 g",260.0,,False,,,-16% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-supermarket-letak-696?page=23&map=211179495,https://img.kupi.cz/kupi/thumbs/balkansky-syr-madeta_170_340.jpg,2026-08-24T19:15:29+02:00
Tesco,Mléčné výrobky a vejce,2705,Balkánský sýr Madeta 115 g,balkansky_syr_madeta,29.9,36.46,Kč,"26,00 Kč / 100 g",260.0,,True,Clubcard,29.9,-18% Clubcard platí do úterý 1. 9.,2026-08-24 - 2026-09-01,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?page=4&map=210626829,https://img.kupi.cz/kupi/thumbs/balkansky-syr-madeta_170_340.jpg,2026-08-24T19:19:39+02:00
Lidl,Mléčné výrobky a vejce,5322,Balkánský sýr Pilos 200 g,balkansky_syr_pilos,29.9,37.85,Kč,"14,95 Kč / 100 g",149.5,,False,,,-21% čt 27. 8. – ne 30. 8.,2026-08-27 - 2026-08-30,https://www.kupi.cz/letak/lidl-letak-od-ctvrtka-141?page=2&map=211180044,https://img.kupi.cz/kupi/thumbs/balkansky-syr-pilos-1_170_340.png,2026-08-24T19:19:08+02:00
Albert,Ovoce a zelenina,2,Banány 1 kg,banany,24.9,44.46,Kč,"24,90 Kč / 1 kg",24.9,,False,,,-44% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/albert-supermarket-letak-695?page=12&map=210617592,https://img.kupi.cz/kupi/thumbs/banany_170_340.jpg,2026-08-24T19:15:07+02:00
Albert,Zdravá výživa,508122,Banán sušený Emma 250 g,banany,34.9,49.86,Kč,"13,96 Kč / 100 g",139.6,,False,,,-30% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=26&map=210927258,https://img.kupi.cz/kupi/thumbs/banan-suseny-emma_170_340.jpg,2026-08-24T19:17:04+02:00
Albert,Ovoce a zelenina,2,Banány 1 kg,banany,24.9,44.46,Kč,"24,90 Kč / 1 kg",24.9,,False,,,-44% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-hypermarket-letak-646?page=14&map=210925839,https://img.kupi.cz/kupi/thumbs/banany_170_340.jpg,2026-08-24T19:15:07+02:00
Albert,Ovoce a zelenina,108132,Banány bio Nature's Promise 1 kg,banany,39.9,49.87,Kč,"39,90 Kč / 1 kg",39.9,,False,,,-20% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-supermarket-letak-696?page=14&map=211179054,https://img.kupi.cz/kupi/thumbs/banany-bio-natures-promise_170_340.jpg,2026-08-24T19:15:09+02:00
Lidl,Sladkosti a slané snacky,713,Tyčinka Banány v čokoládě Orion 80 g,banany,39.9,49.87,Kč,"12,47 Kč / 100 g",124.7,,False,,,-20% platí do středy 26. 8.,2026-08-24 - 2026-08-26,https://www.kupi.cz/letak/lidl-letak-od-pondeli-100?page=32&map=211184931,https://img.kupi.cz/kupi/thumbs/tycinka-banany-v-cokolade-orion_170_340.png,2026-08-24T19:19:28+02:00
Tesco,Ovoce a zelenina,2,Banány 1 kg,banany,17.9,39.78,Kč,"17,90 Kč / 1 kg",17.9,,False,,,-55% zítra končí,2026-08-24 - 2026-08-25,https://www.kupi.cz/letak/tesco-hypermarket-letak-362?map=210626019,https://img.kupi.cz/kupi/thumbs/banany_170_340.jpg,2026-08-24T19:19:35+02:00
Albert,Ovoce a zelenina,11935,Batáty 1 kg,bataty,39.9,59.55,Kč,"39,90 Kč / 1 kg",39.9,,False,,,-33% st 26. 8. – út 1. 9.,2026-08-26 - 2026-09-01,https://www.kupi.cz/letak/albert-supermarket-letak-696?page=15&map=211179093,https://img.kupi.cz/kupi/thumbs/bataty-2_170_340.jpg,2026-08-24T19:15:07+02:00
